Date,Time,Open,High,Low,Close,Volume
2012.07.18,0:00,1.5647,1.5667,1.5644,1.5655,1853
2012.07.18,4:00,1.5654,1.5659,1.5634,1.5639,2157
2012.07.18,8:00,1.5638,1.5662,1.558,1.5598,4880
2012.07.18,12:00,1.5597,1.5639,1.5581,1.5622,5277
2012.07.18,16:00,1.5621,1.5656,1.5619,1.5644,7946
2012.07.18,20:00,1.5643,1.5659,1.5632,1.5652,4736
2012.07.19,0:00,1.5654,1.5658,1.5643,1.5648,3942
2012.07.19,4:00,1.565,1.5666,1.5647,1.5655,4480
2012.07.19,8:00,1.5654,1.5694,1.5635,1.5682,8900
2012.07.19,12:00,1.568,1.572,1.5672,1.5698,10570
2012.07.19,16:00,1.5696,1.5718,1.5689,1.5716,2359
2012.07.20,8:00,1.5696,1.5715,1.5683,1.569,5304
2012.07.20,12:00,1.5689,1.5704,1.5622,1.564,8398
2012.07.20,16:00,1.5638,1.5647,1.5613,1.5614,8494
2012.07.20,20:00,1.5615,1.5627,1.561,1.5619,2937
2012.07.23,0:00,1.5605,1.5615,1.558,1.5585,4799
2012.07.23,4:00,1.5586,1.5589,1.5567,1.557,4344
2012.07.23,8:00,1.5572,1.5575,1.552,1.5526,10739
2012.07.23,12:00,1.5527,1.5545,1.5484,1.5495,10626
2012.07.23,16:00,1.5494,1.5526,1.5487,1.5516,9925
2012.07.23,20:00,1.5517,1.5533,1.5498,1.5501,5474
2012.07.24,0:00,1.5503,1.5525,1.5501,1.5518,4005
2012.07.24,4:00,1.5517,1.5535,1.5509,1.5523,4489
2012.07.24,8:00,1.5524,1.5526,1.5485,1.5497,9860
2012.07.24,12:00,1.5496,1.5551,1.5494,1.5538,9616
2012.07.24,16:00,1.5537,1.5548,1.5495,1.5498,10020
2012.07.24,20:00,1.5499,1.5521,1.5487,1.5504,5609
2012.07.25,0:00,1.5505,1.5509,1.5489,1.5502,4617
2012.07.25,4:00,1.5501,1.5517,1.55,1.5504,4208
2012.07.25,8:00,1.5505,1.5551,1.5467,1.5499,15506
2012.07.25,12:00,1.5498,1.5515,1.5464,1.5477,13300
2012.07.25,16:00,1.5478,1.5519,1.5457,1.5506,12009
2012.07.25,20:00,1.5508,1.5518,1.5489,1.5493,6172
2012.07.26,0:00,1.5495,1.5497,1.5469,1.5474,4796
2012.07.26,4:00,1.5473,1.5487,1.5471,1.5485,4271
2012.07.26,8:00,1.5486,1.551,1.5469,1.5505,10797
2012.07.26,12:00,1.5506,1.5712,1.5499,1.5689,20925
2012.07.26,16:00,1.569,1.5723,1.5672,1.5678,7469
2012.07.26,20:00,1.5679,1.5696,1.5675,1.5684,3619
2012.07.27,0:00,1.5683,1.5691,1.5665,1.5669,2090
2012.07.27,4:00,1.567,1.5684,1.5669,1.5682,1875
2012.07.27,8:00,1.5683,1.572,1.567,1.5708,7675
2012.07.27,12:00,1.5709,1.5746,1.5696,1.5741,9478
2012.07.27,16:00,1.5742,1.5766,1.5705,1.5722,9355
2012.07.27,20:00,1.5723,1.5762,1.5708,1.5747,5309
2012.07.30,0:00,1.5733,1.5739,1.5714,1.5714,3987
2012.07.30,4:00,1.5715,1.5726,1.571,1.5719,3096
2012.07.30,8:00,1.572,1.5722,1.5671,1.5693,9175
2012.07.30,12:00,1.5692,1.5712,1.5678,1.5682,8874
2012.07.30,16:00,1.5681,1.5701,1.568,1.5695,5371
2012.07.30,20:00,1.5696,1.5714,1.5693,1.5702,3225
2012.07.31,0:00,1.5704,1.573,1.5702,1.5725,3091
2012.07.31,4:00,1.5727,1.5728,1.5706,1.5709,3494
2012.07.31,8:00,1.5707,1.5715,1.5678,1.5686,7648
2012.07.31,12:00,1.5687,1.5699,1.5634,1.564,7297
2012.07.31,16:00,1.5638,1.5698,1.5624,1.5673,6997
2012.07.31,20:00,1.5674,1.5682,1.5666,1.5672,3672
2012.08.01,0:00,1.5671,1.5674,1.5654,1.5662,3452
2012.08.01,4:00,1.5663,1.5675,1.5658,1.567,2587
2012.08.01,8:00,1.5672,1.5689,1.5618,1.564,8122
2012.08.01,12:00,1.5641,1.5647,1.5601,1.5608,4574
2012.08.01,16:00,1.5607,1.5624,1.5582,1.5606,2273
2012.08.01,20:00,1.5607,1.5607,1.5529,1.5537,3788
2012.08.02,0:00,1.5536,1.5549,1.5522,1.5529,2675
2012.08.02,4:00,1.553,1.5554,1.5528,1.5552,1793
2012.08.02,8:00,1.5551,1.5566,1.5525,1.5564,5649
2012.08.02,12:00,1.5563,1.5678,1.5529,1.5554,18051
2012.08.02,16:00,1.5553,1.5559,1.5489,1.5503,11770
2012.08.02,20:00,1.5502,1.5518,1.5498,1.5514,5632
2012.08.03,0:00,1.5513,1.5523,1.5503,1.5518,4151
2012.08.03,4:00,1.5519,1.5525,1.5507,1.5523,3247
2012.08.03,8:00,1.5522,1.5572,1.5508,1.555,9276
2012.08.03,12:00,1.5551,1.5599,1.5514,1.5579,10684
2012.08.03,16:00,1.5578,1.5656,1.5567,1.5637,5714
2012.08.03,20:00,1.5636,1.5651,1.563,1.564,2007
2012.08.06,0:00,1.5634,1.5666,1.5612,1.5621,4597
2012.08.06,4:00,1.562,1.563,1.5606,1.5606,2749
2012.08.06,8:00,1.5607,1.562,1.5554,1.5566,6158
2012.08.06,12:00,1.5565,1.5585,1.5545,1.558,5454
2012.08.06,16:00,1.5579,1.5643,1.5562,1.5606,5106
2012.08.06,20:00,1.5608,1.5623,1.5594,1.5599,1365
2012.08.07,0:00,1.5598,1.5601,1.5576,1.5586,3128
2012.08.07,4:00,1.5585,1.5597,1.5578,1.5582,3343
2012.08.07,8:00,1.5584,1.5633,1.5563,1.5627,9029
2012.08.07,12:00,1.5626,1.5684,1.5624,1.5658,8170
2012.08.07,16:00,1.5657,1.5666,1.5635,1.5644,6483
2012.08.07,20:00,1.5645,1.5648,1.5614,1.5622,3981
2012.08.08,0:00,1.5621,1.5623,1.5601,1.5616,4105
2012.08.08,4:00,1.5615,1.5619,1.5605,1.5614,2990
2012.08.08,8:00,1.5616,1.5617,1.5571,1.5591,8853
2012.08.08,12:00,1.5592,1.5671,1.5591,1.5637,9280
2012.08.08,16:00,1.5638,1.5677,1.5636,1.5659,6915
2012.08.08,20:00,1.5658,1.5661,1.5643,1.5656,3871
2012.08.09,0:00,1.5658,1.5686,1.5653,1.5678,4575
2012.08.09,4:00,1.5677,1.5685,1.5663,1.5664,3737
2012.08.09,8:00,1.5663,1.5677,1.5642,1.5663,5632
2012.08.09,12:00,1.5662,1.5662,1.5604,1.5613,7596
2012.08.09,16:00,1.5612,1.5643,1.5605,1.562,7090
2012.08.09,20:00,1.5619,1.5641,1.5618,1.5634,2790
2012.08.10,0:00,1.5635,1.5636,1.5623,1.5629,3275
2012.08.10,4:00,1.5628,1.5629,1.5615,1.5615,4028
2012.08.10,8:00,1.5614,1.5623,1.5576,1.5603,7759
2012.08.10,12:00,1.5602,1.5608,1.5576,1.5607,7714
2012.08.10,16:00,1.5606,1.57,1.5603,1.5672,8615
2012.08.10,20:00,1.5673,1.5691,1.5664,1.5687,2400
2012.08.13,0:00,1.5676,1.5682,1.566,1.5673,2685
2012.08.13,4:00,1.5672,1.5681,1.5664,1.5665,2352
