,Date,Time,Open,High,Low,Close,Volume,Date_Time
14548,2023-04-25 18:00:00,18:00,1985.74,1990.61,1985.36,1989.9,22726,2023.04.25 18:00
14549,2023-04-25 19:00:00,19:00,1989.9,1991.64,1988.2,1990.47,19750,2023.04.25 19:00
14550,2023-04-25 20:00:00,20:00,1990.49,1999.55,1989.89,1998.91,23954,2023.04.25 20:00
14551,2023-04-25 21:00:00,21:00,1998.94,2003.72,1994.31,1995.63,24256,2023.04.25 21:00
14552,2023-04-25 22:00:00,22:00,1995.63,1999.32,1994.69,1999.07,14593,2023.04.25 22:00
14553,2023-04-25 23:00:00,23:00,1999.08,1999.08,1995.69,1996.88,6822,2023.04.25 23:00
14554,2023-04-26 01:00:00,01:00,1996.82,1998.18,1995.91,1997.47,4108,2023.04.26 01:00
14555,2023-04-26 02:00:00,02:00,1997.48,2001.64,1997.48,2000.08,7480,2023.04.26 02:00
14556,2023-04-26 03:00:00,03:00,2000.08,2002.35,1997.24,1997.78,17354,2023.04.26 03:00
14557,2023-04-26 04:00:00,04:00,1997.79,1999.49,1995.62,1998.92,20739,2023.04.26 04:00
14558,2023-04-26 05:00:00,05:00,1998.88,2000.7,1996.56,1998.44,16428,2023.04.26 05:00
14559,2023-04-26 06:00:00,06:00,1998.43,1998.46,1993.05,1993.95,13511,2023.04.26 06:00
14560,2023-04-26 07:00:00,07:00,1993.94,1996.09,1993.94,1995.42,8909,2023.04.26 07:00
14561,2023-04-26 08:00:00,08:00,1995.43,1997.95,1995.12,1996.07,13882,2023.04.26 08:00
14562,2023-04-26 09:00:00,09:00,1996.06,1998.92,1994.28,1998.22,19081,2023.04.26 09:00
14563,2023-04-26 10:00:00,10:00,1998.21,1999.26,1995.12,1997.86,23803,2023.04.26 10:00
14564,2023-04-26 11:00:00,11:00,1997.85,1998.19,1995.25,1997.57,20803,2023.04.26 11:00
14565,2023-04-26 12:00:00,12:00,1997.59,2000.1,1996.96,1998.73,18916,2023.04.26 12:00
14566,2023-04-26 13:00:00,13:00,1998.73,2000.4,1998.61,1999.25,16422,2023.04.26 13:00
14567,2023-04-26 14:00:00,14:00,1999.25,2001.61,1991.39,1995.72,27206,2023.04.26 14:00
14568,2023-04-26 15:00:00,15:00,1995.72,2000.07,1993.84,1997.89,30548,2023.04.26 15:00
14569,2023-04-26 16:00:00,16:00,1997.89,2008.9,1997.47,2003.43,36085,2023.04.26 16:00
14570,2023-04-26 17:00:00,17:00,2003.43,2004.0,1997.41,1998.47,35017,2023.04.26 17:00
14571,2023-04-26 18:00:00,18:00,1998.48,1999.46,1991.36,1991.36,29218,2023.04.26 18:00
14572,2023-04-26 19:00:00,19:00,1991.35,1992.38,1985.37,1986.53,30531,2023.04.26 19:00
14573,2023-04-26 20:00:00,20:00,1986.52,1988.6,1983.22,1988.25,23718,2023.04.26 20:00
14574,2023-04-26 21:00:00,21:00,1988.27,1990.89,1984.41,1990.23,20151,2023.04.26 21:00
14575,2023-04-26 22:00:00,22:00,1990.25,1991.53,1986.9,1987.97,19617,2023.04.26 22:00
14576,2023-04-26 23:00:00,23:00,1987.94,1989.61,1987.09,1989.14,6464,2023.04.26 23:00
14577,2023-04-27 01:00:00,01:00,1989.35,1990.59,1989.03,1990.0,6055,2023.04.27 01:00
14578,2023-04-27 02:00:00,02:00,1990.01,1991.86,1989.84,1991.57,5024,2023.04.27 02:00
14579,2023-04-27 03:00:00,03:00,1991.56,1992.13,1989.67,1991.45,10892,2023.04.27 03:00
14580,2023-04-27 04:00:00,04:00,1991.46,1995.03,1989.43,1992.55,17843,2023.04.27 04:00
14581,2023-04-27 05:00:00,05:00,1992.54,1998.9,1991.99,1998.6,18297,2023.04.27 05:00
14582,2023-04-27 06:00:00,06:00,1998.6,2000.8,1998.31,1999.71,14611,2023.04.27 06:00
14583,2023-04-27 07:00:00,07:00,1999.73,2000.49,1997.68,1999.55,10236,2023.04.27 07:00
14584,2023-04-27 08:00:00,08:00,1999.53,2002.63,1997.62,1998.9,16516,2023.04.27 08:00
14585,2023-04-27 09:00:00,09:00,1998.91,2003.06,1997.2,2001.93,20763,2023.04.27 09:00
14586,2023-04-27 10:00:00,10:00,2001.93,2003.17,1998.24,1999.29,20531,2023.04.27 10:00
14587,2023-04-27 11:00:00,11:00,1999.3,1999.85,1997.51,1998.07,18484,2023.04.27 11:00
14588,2023-04-27 12:00:00,12:00,1998.08,1999.85,1996.79,1996.93,16872,2023.04.27 12:00
14589,2023-04-27 13:00:00,13:00,1996.92,2001.0,1995.84,2000.56,16865,2023.04.27 13:00
14590,2023-04-27 14:00:00,14:00,2000.55,2001.11,1996.09,1996.81,18282,2023.04.27 14:00
14591,2023-04-27 15:00:00,15:00,1996.83,2003.24,1981.75,1985.61,32990,2023.04.27 15:00
14592,2023-04-27 16:00:00,16:00,1985.65,1988.81,1974.13,1982.27,41529,2023.04.27 16:00
14593,2023-04-27 17:00:00,17:00,1982.25,1986.36,1978.79,1983.31,34992,2023.04.27 17:00
14594,2023-04-27 18:00:00,18:00,1983.3,1985.81,1981.85,1982.16,25377,2023.04.27 18:00
14595,2023-04-27 19:00:00,19:00,1982.17,1984.45,1981.07,1984.18,20091,2023.04.27 19:00
14596,2023-04-27 20:00:00,20:00,1984.19,1991.0,1983.6,1988.99,22921,2023.04.27 20:00
14597,2023-04-27 21:00:00,21:00,1989.01,1989.67,1986.93,1988.88,16397,2023.04.27 21:00
14598,2023-04-27 22:00:00,22:00,1988.89,1989.8,1986.79,1988.0,15623,2023.04.27 22:00
14599,2023-04-27 23:00:00,23:00,1988.01,1988.53,1987.28,1987.68,7905,2023.04.27 23:00
14600,2023-04-28 01:00:00,01:00,1987.7,1987.89,1986.39,1986.69,4170,2023.04.28 01:00
14601,2023-04-28 02:00:00,02:00,1986.67,1987.6,1986.17,1986.82,5976,2023.04.28 02:00
14602,2023-04-28 03:00:00,03:00,1986.82,1987.37,1985.48,1985.78,11400,2023.04.28 03:00
14603,2023-04-28 04:00:00,04:00,1985.8,1991.42,1984.87,1990.36,19079,2023.04.28 04:00
14604,2023-04-28 05:00:00,05:00,1990.39,1990.68,1988.42,1990.41,13546,2023.04.28 05:00
14605,2023-04-28 06:00:00,06:00,1990.42,1990.98,1987.15,1988.79,10319,2023.04.28 06:00
14606,2023-04-28 07:00:00,07:00,1988.78,1990.24,1986.12,1987.25,10941,2023.04.28 07:00
14607,2023-04-28 08:00:00,08:00,1987.26,1989.5,1983.31,1984.75,20554,2023.04.28 08:00
14608,2023-04-28 09:00:00,09:00,1984.75,1986.99,1983.2,1985.71,26598,2023.04.28 09:00
14609,2023-04-28 10:00:00,10:00,1985.74,1986.06,1981.5,1982.24,23759,2023.04.28 10:00
14610,2023-04-28 11:00:00,11:00,1982.26,1983.65,1979.68,1983.38,22399,2023.04.28 11:00
14611,2023-04-28 12:00:00,12:00,1983.4,1983.7,1981.79,1982.91,17211,2023.04.28 12:00
14612,2023-04-28 13:00:00,13:00,1982.9,1984.38,1982.4,1983.24,15628,2023.04.28 13:00
14613,2023-04-28 14:00:00,14:00,1983.25,1984.76,1981.95,1983.16,16358,2023.04.28 14:00
14614,2023-04-28 15:00:00,15:00,1983.17,1987.33,1976.16,1984.13,32619,2023.04.28 15:00
14615,2023-04-28 16:00:00,16:00,1984.13,1989.95,1982.32,1986.57,34130,2023.04.28 16:00
14616,2023-04-28 17:00:00,17:00,1986.58,1992.85,1982.01,1992.16,35859,2023.04.28 17:00
14617,2023-04-28 18:00:00,18:00,1992.18,1994.91,1987.69,1991.69,31197,2023.04.28 18:00
14618,2023-04-28 19:00:00,19:00,1991.67,1993.98,1989.01,1991.4,22379,2023.04.28 19:00
14619,2023-04-28 20:00:00,20:00,1991.41,1992.74,1988.8,1990.55,17548,2023.04.28 20:00
14620,2023-04-28 21:00:00,21:00,1990.54,1991.17,1988.58,1988.81,15810,2023.04.28 21:00
14621,2023-04-28 22:00:00,22:00,1988.86,1989.57,1987.38,1989.07,15928,2023.04.28 22:00
14622,2023-04-28 23:00:00,23:00,1989.07,1989.73,1987.81,1989.59,6989,2023.04.28 23:00
14623,2023-05-01 01:00:00,01:00,1990.46,1991.71,1988.42,1989.09,6807,2023.05.01 01:00
14624,2023-05-01 02:00:00,02:00,1989.11,1989.22,1986.56,1986.78,5948,2023.05.01 02:00
14625,2023-05-01 03:00:00,03:00,1986.77,1987.33,1983.58,1983.82,11524,2023.05.01 03:00
14626,2023-05-01 04:00:00,04:00,1983.83,1984.94,1980.93,1981.87,11515,2023.05.01 04:00
